Name,Price,Rating,Reviews,Category,Region,Type,ABV,IBU,Tasting_Notes,Food_Pairing,Suggested_Glassware,Suggested_Serving_Temperature,Calories Per Serving (12 Oz),Carbs Per Serving (12 Oz),Features
Blake's Grizzly Pear Cider,10.99,4.7,4,Cider,"Michigan, United States",,5%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten-Free
Leinenkugel's Explorer's Variety Pack Beer,16.99,5,1,Variety Pack Beer,"Wisconsin, United States",Variety Pack,6%,,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
Left Hand Nitro Variety Pack,17.87,4.7,1,Variety Pack Beer,"Colorado, United States",Variety Pack,5%,,,,,,,,
Ayinger Oktober Fest-Marzen,3.99,,,Marzen / Oktoberfest,Germany,Craft,5.8%,21,,,"Pint Glass, Stein/Pub Mug",45-50° F,,,
Jack's Abby Smoke & Dagger Dark Lager,10.69,4.3,2,Schwarzbier,"Massachusetts, United States",Craft,5.8%,25,"Smoky, Tobacco, Dry, Smooth","Cheese - Hard Aged, Pork","Pint Glass, Stein/Pub Mug",45-50° F,,,
Voodoo Ranger IPA,11.54,4.7,35,IPA,"Colorado, United States",Craft,7%,50,"Citrus, Floral, Hoppy, Stone Fruit","Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Lamb, Mushrooms, Nuts, Root Vegetables","Pint Glass, Snifter/Goblet/Chalice",45-50° F,200,15,Kosher
Jever Pilsner,12.29,4,2,Pilsner,Germany,Craft,4.9%,40,,,Pilsner Glass,40-45° F,,,
Rochefort 6,6.49,,,Dubbel,United States,Craft,7.5%,35,,,Snifter/Goblet/Chalice,50-55° F,,,
Isastegi Sagardo Basque Cider,11.0,5,1,Cider,Spain,,6%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Ballast Point California Kolsch,11.99,4,1,Pale Ale,"California, United States","Craft, Independent Craft Brewer",5.2%,23,"Bitter, Hoppy, Pine, Biscuit","Beef, Nuts","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Citizen Cider Brose,12.99,,,Cider,"Vermont, United States","Craft, Independent Craft Brewer",6.1%,,"Apple, Balanced, Blueberry, Bold, Fresh",,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten-Free
Lakefront Pumpkin Lager,9.99,,,Seasonal Beer,"Wisconsin, United States","Craft, Seasonal",5.8%,10,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
Left Hand Rotating Seasonal,12.04,3.5,3,Stout,"Colorado, United States",Seasonal,4.5%,20,"Anise, Bold, Coffee, Malty, Rich, Roasted, Smoky, Strong",,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",45-50° F,,,
Union Double Duckpin,15.99,5,1,IPA,"Maryland, United States",Craft,8.5%,,"Hoppy, Citrus, Pine, Grapefruit","Beef, Salads & Greens","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Krombacher Weizen NA,9.99,5,1,Weizenbock,Germany,"Craft, Non-Alcoholic",0.5%,,,,Pint Glass,35-40° F,,,Non-Alcoholic
Reuben's Brews Seasonal IPA,12.98,,,IPA,"Washington, United States","Craft, Independent Craft Brewer, Seasonal",7%,50,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Breckenridge Brewery Nitro Irish Stout,11.99,4.7,2,Dry Stout,"Colorado, United States",Craft,6.5%,38,,,Pint Glass,45-50° F,,,
Bold Rock India Pressed Apple,10.99,4.8,1,Cider,"Virginia, United States",,4.7%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Meridian Hive Blackberry,11.99,,,Hard Soda,"Texas, United States",Craft,5%,,"Berry, Bold, Bright, Crisp, Dark Fruit, Fruity","Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Chicken, Dessert - Chocolate & Coffee, Dessert - Fruit, Duck & Game Bird, Fish - Meaty & Oily, Fish - White, Fruit - Citrus, Fruit - Dried, Lamb, Nuts, Pasta, Pork, Salads & Greens",,,170,19,Gluten-Free
Meridian Hive Honey,11.36,4.7,1,Hard Soda,"Texas, United States",Craft,5%,,"Balanced, Bright, Citrus, Crisp, Floral, Fresh, Honey, Light","Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Chicken, Dessert - Fruit, Dessert - Vanilla & Caramel, Duck & Game Bird, Fish - White, Fruit - Citrus, Fruit - Sweet, Lamb, Mushrooms, Nuts, Pasta, Pork, Salads & Greens, Shellfish, Tomatoes, Turkey",,,180,24,Gluten-Free
Oliver Beanblossom Peach Hard Cider,9.99,,,Cider,"Indiana, United States",Craft,8.3%,,"Apple, Peach","Cheese - Nutty & Semi-Firm, Cured Meats, Fish - White, Salads & Greens","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten-Free
"Boochcraft Watermelon, Mint, Chili",9.04,,,Hard Iced Tea,"California, United States",Independent Craft Brewer,7%,,,,Pint Glass,40-45° F,,,
Voodoo Ranger Imperial IPA,12.99,4.7,77,Imperial / Double IPA,"Colorado, United States",Craft,9%,70,"Bitter, Citrus, Hoppy, Strong","Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Cured Meats, Fish - Meaty & Oily, Mushrooms, Root Vegetables",Snifter/Goblet/Chalice,50-55° F,250,17,Kosher
Orion Premium Draft Beer,14.84,,,Pale Lager,Japan,Craft,5%,,,,Pint Glass,40-45° F,,,
Breakside Passionfruit Sour,7.99,4.7,1,Sour / Wild Ale,"Oregon, United States",Craft,5%,,,,"Snifter/Goblet/Chalice, Stange",45-50° F,,,
Hap And Harry's Tennessee Lager,6.49,5,1,Lager,"Tennessee, United States",Craft,5.4%,,,,Pint Glass,35-40° F,,,
Weihenstephaner 1516 Kellerbier,13.99,,,Kellerbier / Zwickelbier,Germany,,5.6%,25,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
Owl's Brew Boozy Tea- Darjeeling Tea & Hibiscus Flowers,11.99,4.3,3,Hard Iced Tea,"New York, United States",,4.8%,10,"Berry, Bright, Citrus, Crisp, Floral, Fresh, Fruity, Light, Smooth",,"Pint Glass, Mason Jar",40-45° F,120,,
WarPigs Lazurite IPA,13.99,4.7,2,New England / Hazy IPA,"Indiana, United States",Craft,7.5%,70,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Urban Artifact Pinwheel Kumquat Gose,13.7,,,Gose,"Ohio, United States",Craft,4.5%,,,,Stange,40-45° F,,,
Neshaminy Creek County Line IPA,13.99,4.8,1,IPA,"Pennsylvania, United States",Craft,6.6%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Voodoo Ranger Juicy Haze IPA,12.69,4.8,29,New England / Hazy IPA,"Colorado, United States",Craft,7.5%,42,"Creamy, Hoppy","Cheese - Blue, Cheese - Creamy & Bloomy, Dessert - Vanilla & Caramel, Fish - Meaty & Oily, Mushrooms, Root Vegetables","Pint Glass, Snifter/Goblet/Chalice",45-50° F,230,16,Kosher
Lakefront Pumpkin Lager,9.99,,,Seasonal Beer,"Wisconsin, United States","Craft, Seasonal",5.8%,10,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
Ballast Point California Kolsch,11.99,4,1,Pale Ale,"California, United States","Craft, Independent Craft Brewer",5.2%,23,"Bitter, Hoppy, Pine, Biscuit","Beef, Nuts","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Left Hand Rotating Seasonal,12.04,3.5,3,Stout,"Colorado, United States",Seasonal,4.5%,20,"Anise, Bold, Coffee, Malty, Rich, Roasted, Smoky, Strong",,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",45-50° F,,,
ACE Hazy Hop Cider,11.56,4.1,3,Cider,"California, United States",Seasonal,5%,,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Austin Beerworks Flavor Country Hoppy Pale Ale,11.99,,,American Pale Ale,"Texas, United States","Craft, Independent Craft Brewer",5.9%,35,"Balanced, Bold, Citrus, Peach, Pine, Tropical",,Pint Glass,45-50° F,,,
Bronx Brewery Boom Boom IPA,16.5,4,1,Imperial / Double IPA,"New York, United States",Craft,8.1%,31,,,Snifter/Goblet/Chalice,50-55° F,,,
Austin Eastciders Watermelon Cider (Seasonal),14.99,4.6,3,Cider,"Texas, United States","Craft, Independent Craft Brewer, Seasonal",5%,,"Apple, Fresh, Fruity, Watermelon",,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,"Gluten Reduced, Kosher"
Mighty Squirrel Dear George,15.99,,,New England / Hazy IPA,"Massachusetts, United States",,7.2%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Flying Embers Wild Berry Hard Kombucha,15.39,3.6,1,Hard Kombucha,United States,Craft,4.5%,,"Berry, Bright, Fresh, Fruity",,,,85,0,"Gluten-Free, Organic"
Flying Embers Mango Coconut Hard Kombucha,24.99,,,Hard Kombucha,"California, United States",,7%,,"Coconut, Fruity, Tropical, Tropical Fruit",,,,130,0,Organic
Flying Embers Sweet & Heat Variety Pack Hard Seltzer,12.99,4.5,4,Hard Seltzer,"California, United States",Variety Pack,5%,,"Citrus, Crisp, Fresh, Fruity, Guava, Pineapple, Spicy, Watermelon",,Snifter/Goblet/Chalice,40-45° F,,,Organic
Flying Monkey Juicy Ass,4.99,4.5,1,IPA,Canada,Craft,6.5%,69,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Burial Surf Wax IPA,16.49,,,IPA,"North Carolina, United States",Craft,6.8%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Breakside Stay West IPA,13.99,,,IPA,"Oregon, United States",,7.3%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Flying Embers Botanicals & Bitters Variety Pack Hard Seltzer,29.99,4.6,4,Hard Seltzer,"California, United States",Variety Pack,5%,,"Bright, Cherry, Floral, Fresh, Fruity, Passionfruit, Rose Petal, Tropical Fruit",,Snifter/Goblet/Chalice,40-45° F,95,0,Organic
Flying Embers Variety Pack Hard Seltzer,21.99,4.2,3,Hard Seltzer,United States,Variety Pack,5%,,"Berry, Bright, Cherry, Citrus, Floral, Fresh, Fruity, Passionfruit, Rose Petal, Tropical, Tropical Fruit, Watermelon",,Snifter/Goblet/Chalice,40-45° F,95,0,"Gluten-Free, Organic"
Avery Maharaja Imperial IPA,8.99,4.8,4,Imperial / Double IPA,"Colorado, United States","Independent Craft Brewer, Craft",10%,102,"Strong, Malty, Hoppy, Thick","Cheese - Nutty & Semi-Firm, Pork",Snifter/Goblet/Chalice,50-55° F,,,
Austin Eastciders Watermelon Cider (Seasonal),14.99,4.6,3,Cider,"Texas, United States","Craft, Independent Craft Brewer, Seasonal",5%,,"Apple, Fresh, Fruity, Watermelon",,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,"Gluten Reduced, Kosher"
Oxbow Farmhouse Pale Ale,13.99,,,Saison / Farmhouse Ale,"Maine, United States",,6%,,,,Snifter/Goblet/Chalice,45-50° F,,,
New Image Coriolis Effect,12.99,4.7,1,New England / Hazy IPA,"Colorado, United States",,6.5%,,,,Pint Glass,45-50° F,,,
Upslope Spiked Snow Melt Tangerine & Hops,9.99,,,Hard Seltzer,"Colorado, United States",,5%,12,,,Snifter/Goblet/Chalice,40-45° F,100,2,
Cisco Brewers Cold Wave American IPA,9.49,,,Golden / Blonde Ale,"Massachusetts, United States","Craft, Seasonal",5.3%,25,"Bitter, Citrus, Crisp, Hoppy, Light, Toasty","Beef, Cheese - Blue, Chicken",Pint Glass,45-50° F,,,
Crook & Marker Pina Colada Variety Pack,17.35,4.6,1,Hard Seltzer,"New Jersey, United States",Variety Pack,4%,,,,Snifter/Goblet/Chalice,40-45° F,80,1,"Gluten Reduced, Kosher, Organic"
Two Pitchers Disco Queen,11.98,,,Shandy / Radler,"California, United States","Craft, Independent Craft Brewer",4.2%,,"Apple, Balanced, Bright, Crisp, Dry, Floral, Fresh, Fruity, Light, Pear",,Flute,40-45° F,100,,
Yards Seasonal Variety Pack,23.09,,,Variety Pack Beer,"Pennsylvania, United States","Craft, Seasonal, Variety Pack, Independent Craft Brewer",,,,,,,,,
Sierra Nevada Fantastic Haze DIPA,13.74,4.7,8,Imperial / Double IPA,"California, United States",,9%,40,,,Snifter/Goblet/Chalice,45-50° F,,,
Sweet Water Oasis Variety Pack,17.98,4.2,1,Hard Seltzer,"Georgia, United States",Variety Pack,5%,,,,Snifter/Goblet/Chalice,40-45° F,,,
Double Nickel IPA,12.54,,,IPA,"New Jersey, United States",,8%,,,,Snifter/Goblet/Chalice,45-50° F,,,
Stewart's Spiked Seltzer Variety,20.18,,,Hard Seltzer,United States,,5%,,,,Snifter/Goblet/Chalice,40-45° F,,,
Bootstrap Brewing Mixed Beer/Seltzer Variety Pack,19.99,3.5,1,Variety Pack Beer,"Colorado, United States","Craft, Independent Craft Brewer, Variety Pack",4.5%,,,,,,,,Gluten Reduced
1911 Tropical Cider,12.09,4.1,4,Cider,"New York, United States",,6.5%,,,,,,,,
Diskin Cider 615,11.99,,,Cider,United States,,5%,,,,,,,,
Scofflaw Brewing Company The Herd Variety Pack,20.54,,,Variety Pack Beer,"Georgia, United States",Variety Pack,7.5%,,,,,,,,
Creature Comforts Tritonia Gose,14.94,,,Sour / Wild Ale,"Georgia, United States",Independent Craft Brewer,4.5%,,,,,,,,
Jellyfish Brewing Smack IPA,14.29,,,IPA,"Washington, United States","Craft, Independent Craft Brewer",7%,70,"Citrus, Pine",,Snifter/Goblet/Chalice,45-50° F,,,
Seagram's Escapes Cocktails,18.48,,,Variety Pack Beer,United States,"Craft, Variety Pack",5%,,"Balanced, Bold, Bright, Citrus, Flavored, Light, Pineapple, Smooth, Sweet",,,,100,,
Radeberger Zwickelbier Pilsner,11.99,,,Pilsner,Germany,,4.8%,,,,Pilsner Glass,40-45° F,,,
Dogfish Head Lemon Quest Non-Alcoholic Beer,11.69,5,1,Non-Alcoholic Beer,United States,Non-Alcoholic,0.5%,,"Fresh, Fruity, Light",,,,,,
Avery Brewing Hop Pack,20.99,,,Variety Pack Beer,"Colorado, United States","Craft, Seasonal, Variety Pack",6%,,,,,,,,
Avery IPA,10.99,4.9,1,IPA,"Colorado, United States","Independent Craft Brewer, Craft",6.5%,69,"Bitter, Hoppy, Pine, Herbal","Fruit - Sweet, Tomatoes","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Avery Brewing White Rascal,11.99,4.8,5,Witbier,"Colorado, United States","Independent Craft Brewer, Craft",5.6%,22,"Creamy, Citrus, Yeasty","Duck & Game Bird, Salads & Greens",Snifter/Goblet/Chalice,45-50° F,,,
Wellbeing Victory Wheat Non-Alcoholic,11.0,,,Non-Alcoholic Beer,"Missouri, United States",Non-Alcoholic,19%,20,,,,,85,16,
Oskar Blues Pack-O-Bliss Mixed IPA Pack,19.99,4.8,1,Variety Pack Beer,"Colorado, United States",,6%,,,,,,,,
"Cape May Brewing Co., Cape May Coffee Stout (Coffee Stout)",14.49,4.8,3,Stout,"New Jersey, United States","Craft, Seasonal",6.5%,28,"Coffee, Malty, Roasted, Smooth",,Pint Glass,45-50° F,,,
Avery Hazyish IPA,11.99,4.8,1,IPA,"Colorado, United States","Independent Craft Brewer, Craft",6.5%,30,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Tecate Alta,3.99,5,3,American-Style Lager,Mexico,,4%,5,"Balanced, Crisp",,Pilsner Glass,35-40° F,85,2.4,
"Wild Nectar Hard Juice Variety Pack, Passionfruit Lime and Strawberry Guava",17.48,,,Hard Seltzer,"Colorado, United States",Craft,5%,,"Guava, Fruity, Passionfruit","Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Dessert - Vanilla & Caramel, Root Vegetables, Salads & Greens, Fruit - Citrus, Fruit - Sweet",,,,,Gluten-Free
Tecate Light,13.99,4.6,11,Light Lager,Mexico,,3.9%,7,"Crisp, Dry, Light","Nuts, Chicken",Pint Glass,35-40° F,110,7.9,
Scofflaw Brewing Company The Herd Variety Pack,20.54,,,Variety Pack Beer,"Georgia, United States",Variety Pack,7.5%,,,,,,,,
"Founders KBS Cinnamon Vanilla Cocoa, Bourbon Barrel-Aged Imperial Stout Beer",24.19,,,Imperial Stout,"Michigan, United States",Craft,12%,,"Chocolate, Cinnamon, Coffee, Intense, Malty, Mocha, Oak, Silky, Smooth, Vanilla","Beef, Cheese - Fresh & Soft, Cured Meats, Dessert - Chocolate & Coffee, Dessert - Vanilla & Caramel, Duck & Game Bird, Lamb, Pork, Salads & Greens",Snifter/Goblet/Chalice,50-55° F,,,
Radeberger Zwickelbier Pilsner,11.99,,,Pilsner,Germany,,4.8%,,,,Pilsner Glass,40-45° F,,,
Creature Comforts Tritonia Gose,14.94,,,Sour / Wild Ale,"Georgia, United States",Independent Craft Brewer,4.5%,,,,,,,,
Stewart's Spiked Seltzer Variety,20.18,,,Hard Seltzer,United States,,5%,,,,Snifter/Goblet/Chalice,40-45° F,,,
Honky Tonk Sour Cherry Ale,11.99,5,1,Sour / Wild Ale,"Tennessee, United States",,5%,5,,,,,,,
Double Nickel IPA,12.54,,,IPA,"New Jersey, United States",,8%,,,,Snifter/Goblet/Chalice,45-50° F,,,
New Belgium Mountain Time Premium Lager,13.99,4.7,3,American-Style Lager,"Colorado, United States","Craft, Sustainable",4.4%,15,"Crisp, Light","Fruit - Citrus, Mushrooms, Root Vegetables, Salads & Greens",Pint Glass,40-45° F,130,10,Kosher
Sweet Water Oasis Variety Pack,17.98,4.2,1,Hard Seltzer,"Georgia, United States",Variety Pack,5%,,,,Snifter/Goblet/Chalice,40-45° F,,,
Diskin Cider 615,11.99,,,Cider,United States,,5%,,,,,,,,
Dogfish Head Lemon Quest Non-Alcoholic Beer,11.69,5,1,Non-Alcoholic Beer,United States,Non-Alcoholic,0.5%,,"Fresh, Fruity, Light",,,,,,
Seagram's Escapes Cocktails,18.48,,,Variety Pack Beer,United States,"Craft, Variety Pack",5%,,"Balanced, Bold, Bright, Citrus, Flavored, Light, Pineapple, Smooth, Sweet",,,,100,,
Jellyfish Brewing Smack IPA,14.29,,,IPA,"Washington, United States","Craft, Independent Craft Brewer",7%,70,"Citrus, Pine",,Snifter/Goblet/Chalice,45-50° F,,,
The Bruery Rotating Beer Series,8.99,4.8,1,Oatmeal Stout,"California, United States",Seasonal,10.2%,,,,Pint Glass,45-50° F,,,
Rhinegeist Cloud Harvest,,,,New England / Hazy IPA,,,6.5%,,,,,,,,
Modern Times Fortunate Islands,12.19,,,Lager,"California, United States","Craft, Independent Craft Brewer",5%,40,"Passionfruit, Tropical, Tropical Fruit",,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Dogfish Head World Wide Stout Beer,10.99,4.6,1,Imperial Stout,"Delaware, United States",Craft,18%,70,"Chocolate, Coffee, Oak, Rich, Roasted",,Snifter/Goblet/Chalice,45-50° F,,,
Warsteiner Oktoberfest,9.99,4.6,1,Marzen / Oktoberfest,Germany,Craft,5%,21,,,"Pint Glass, Stein/Pub Mug",45-50° F,,,
Smuttynose Variety Pack,18.99,,,Variety Pack Beer,"New Hampshire, United States","Craft, Variety Pack",4.2%,,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
Goose Island Green Line Pale Ale,6.79,4.5,3,American Pale Ale,"Illinois, United States",Craft,5.4%,30,"Citrus, Crisp, Hoppy","Salads & Greens, Cured Meats",Pint Glass,45-50° F,,,
Southern Tier IPA,10.99,4.9,2,IPA,"New York, United States",Craft,7.3%,60,"Hoppy, Strong, Citrus, Pine","Mushrooms, Duck & Game Bird","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Shed Mountain Ale,10.99,,,English Strong Ale,"Vermont, United States",Craft,7.4%,35,,,Snifter/Goblet/Chalice,50-55° F,,,
Dos Equis Lager Lime & Salt,10.69,4.6,6,Pale Lager,Mexico,,4.2%,10,"Citrus, Flavored, Fruity, Light",,,,135,12,
Red Stripe,15.99,4.8,33,Pale Lager,Jamaica,,4.7%,23,"Light, Dry, Grainy",Nuts,Pint Glass,40-45° F,,,
Heineken Lager,19.99,4.7,167,Lager,Netherlands,,5%,19,"Grainy, Herbal, Light","Cheese - Nutty & Semi-Firm, Cheese - Stinky",Pint Glass,40-45° F,,,Gluten Reduced
Shed Mountain Ale,10.99,,,English Strong Ale,"Vermont, United States",Craft,7.4%,35,,,Snifter/Goblet/Chalice,50-55° F,,,
Dry Dock Brewing Hop Abomination,10.79,5,1,IPA,"Colorado, United States",Craft,6.5%,,"Citrus, Herbal, Biscuit, Thick","Lamb, Fruit - Dried","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Samuel Smith's Organic Raspberry,6.83,4.5,1,Fruit Beer,United Kingdom,Craft,5.1%,11,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Organic
Dos Equis Ambar,10.49,4.8,14,Amber / Vienna Lager,Mexico,,4.7%,22,"Caramel, Fresh, Honey, Roasted, Smooth, Toasty","Beef, Cheese - Nutty & Semi-Firm, Chicken, Fish - White, Pork","Pilsner Glass, Pint Glass",45-50° F,146,14,
Rahr's Blonde,10.07,,,Golden / Blonde Ale,"Texas, United States",Craft,5%,,"Bready, Crisp, Light, Malty",,Pint Glass,45-50° F,,,
New Belgium Mountain Time Premium Lager,13.99,4.7,3,American-Style Lager,"Colorado, United States","Craft, Sustainable",4.4%,15,"Crisp, Light","Fruit - Citrus, Mushrooms, Root Vegetables, Salads & Greens",Pint Glass,40-45° F,130,10,Kosher
Unibroue - Terrible,10.99,,,Belgian-Style Ale,Canada,Craft,10.5%,15,,,"Pint Glass, Stein/Pub Mug",45-50° F,,,
Tona Cerveza,9.99,,,American-Style Lager,Nicaragua,,4.6%,,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",35-40° F,,,
Latitude 33 Blood Orange IPA,6.99,4.9,3,IPA,"California, United States",Craft,7.2%,61,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Southern Star Buried Hatchet Stout,8.8,4.2,4,Imperial Stout,"Texas, United States",Craft,8.25%,50,,,Snifter/Goblet/Chalice,45-50° F,,,
Lift Bridge Farm Girl Saison,9.99,5,1,Saison / Farmhouse Ale,"Minnesota, United States",Craft,5.5%,,"Spicy, Yeasty, Dry, Pepper","Cheese - Stinky, Lamb",Snifter/Goblet/Chalice,50-55° F,,,
Clos Normande Brut Cider,9.47,,,Cider,France,,4%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Flying Cauldron Butterscotch Beer,1.99,5,1,Specialty Beer & Alternatives,United States,,0%,1,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
Spiteful Alley Time Pale Ale,11.99,,,American Pale Ale,"Illinois, United States",Independent Craft Brewer,6%,,"Citrus, Fresh, Grapefruit, Hoppy",,Pint Glass,45-50° F,,,
New Belgium Mountain Time Premium Lager,13.99,4.7,3,American-Style Lager,"Colorado, United States","Craft, Sustainable",4.4%,15,"Crisp, Light","Fruit - Citrus, Mushrooms, Root Vegetables, Salads & Greens",Pint Glass,40-45° F,130,10,Kosher
Bauhaus Many Pack,18.84,4.4,1,Variety Pack Beer,"Minnesota, United States","Craft, Variety Pack",,,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
Wyders Reposado Cider,11.49,,,Cider,United States,,6.9%,,"Apple, Balanced, Pear, Smooth, Sweet",,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,250,27,Gluten-Free
Ghostfish Shrouded Summit White Ale,12.99,,,Wheat Ale,United States,Craft,4.5%,,,,Pint Glass,45-50° F,,,Gluten-Free
Maredsous Triple Ale 10,12.99,,,Tripel,Belgium,Craft,10%,20,,,Snifter/Goblet/Chalice,50-55° F,,,
Bold City Mad Manatee IPA,9.99,,,IPA,"Florida, United States",Craft,5%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Texas Ale Project Fire Ant Funeral Amber Ale,11.17,4.8,2,Amber / Red Ale,"Texas, United States",Craft,6%,,,,Pint Glass,45-50° F,,,
Sierra Nevada Tropical Torpedo,59.99,4.1,3,IPA,"California, United States",Craft,6%,35,"Fruity, Tropical Fruit, Hoppy, Sweet","Salads & Greens, Fruit - Citrus","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Weyerbacher Quad,12.99,,,Quadrupel,"Pennsylvania, United States",Craft,11.8%,39,,,Snifter/Goblet/Chalice,50-55° F,,,
Modern Times Black House Coffee Stout,12.49,4.7,4,Oatmeal Stout,"California, United States","Craft, Independent Craft Brewer",5.8%,30,"Chocolate, Coffee",,Snifter/Goblet/Chalice,45-50° F,,,
Peak Organic The Juice,12.59,4.3,1,American Pale Ale,"Maine, United States",Craft,5.6%,,"Berry, Citrus, Hoppy",,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Organic
Two Brothers Pinball Juicy Hop Pale Ale,10.49,,,Pale Ale,"Illinois, United States",Craft,5.4%,31,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Elysian Brewing Dayglow IPA,13.19,3.6,1,IPA,"Washington, United States",Craft,7.5%,65,"Bright, Crisp, Tropical Fruit",,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Golden Road Brewing Melon Cart,11.99,4.3,5,Wheat Ale,"California, United States",Craft,4%,10,"Fresh, Fruity, Light, Melon, Melon - Honeydew, Smooth, Sweet, Watermelon",,Pint Glass,45-50° F,,,
AleSmith Clásico Mexican Lager,12.49,4.5,2,Lager,"California, United States","Craft, Independent Craft Brewer",5.2%,26,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
Elysian Brewing Dayglow IPA,13.19,3.6,1,IPA,"Washington, United States",Craft,7.5%,65,"Bright, Crisp, Tropical Fruit",,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Two Brothers Pinball Juicy Hop Pale Ale,10.49,,,Pale Ale,"Illinois, United States",Craft,5.4%,31,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Weyerbacher Quad,12.99,,,Quadrupel,"Pennsylvania, United States",Craft,11.8%,39,,,Snifter/Goblet/Chalice,50-55° F,,,
Peak Organic The Juice,12.59,4.3,1,American Pale Ale,"Maine, United States",Craft,5.6%,,"Berry, Citrus, Hoppy",,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Organic
El Segundo Mayberry IPA,7.99,4.3,1,IPA,"California, United States",Craft,7.1%,51,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Troegs Haze Charmer Hazy Pale Ale,2.99,,,Pale Ale,"Pennsylvania, United States",Craft,5.5%,,"Grapefruit, Peach, Pine",,Pint Glass,45-50° F,,,
Voodoo Ranger Juicy Haze IPA,12.69,4.8,29,New England / Hazy IPA,"Colorado, United States",Craft,7.5%,42,"Creamy, Hoppy","Cheese - Blue, Cheese - Creamy & Bloomy, Dessert - Vanilla & Caramel, Fish - Meaty & Oily, Mushrooms, Root Vegetables","Pint Glass, Snifter/Goblet/Chalice",45-50° F,230,16,Kosher
Station 26 Lemon Lavender Blonde Ale,10.99,5,1,Golden / Blonde Ale,"Colorado, United States",Craft,5.5%,,,,Pint Glass,45-50° F,,,
